unit_id,worker_weight,occupation,soc_pattern,gpt_exposure,selected_ge_50,selected_ge_60,selected_ge_70,selected_ge_80,selected_ge_90
3010,3210180.7219,Dentists,29-1020,0.2418003440147799,False,False,False,False,False
3030,2702793.9797,Dietitians and nutritionists,29-1031,0.5487804878048781,True,False,False,False,False
3040,858595.8614,Optometrists,29-1041,0.3,False,False,False,False,False
3050,8063366.8771,Pharmacists,29-1051,0.4285714285714285,False,False,False,False,False
3090,20751415.3165,Other physicians,29-12XX,0.37244904438522547,False,False,False,False,False
3100,1152918.2595,Surgeons,29-1240,0.37555139841566776,False,False,False,False,False
3110,3655308.1861,Physician assistants,29-1071,0.2708333333333333,False,False,False,False,False
3120,208898.9623,Podiatrists,29-1081,0.2857142857142857,False,False,False,False,False
3140,269593.9888,Audiologists,29-1181,0.4545454545454546,False,False,False,False,False
3150,3211648.6566,Occupational therapists,29-1122,0.2890151515151515,False,False,False,False,False
3160,6144528.5945999995,Physical therapists,29-1123,0.1914893617021276,False,False,False,False,False
3200,350110.6159,Radiation therapists,29-1124,0.2804878048780488,False,False,False,False,False
3210,311321.6973,Recreational therapists,29-1125,0.3181818181818182,False,False,False,False,False
3220,2429308.6525,Respiratory therapists,29-1126,0.2023809523809523,False,False,False,False,False
3230,3931883.7296,Speech-language pathologists,29-1127,0.4512195121951219,False,False,False,False,False
3245,5204213.2393000005,"Therapists, all other",29-1129,0.3656028368794326,False,False,False,False,False
3250,1911503.2216,Veterinarians,29-1131,0.2702702702702703,False,False,False,False,False
3255,70232433.869,Registered nurses,29-1141,0.38019000703729766,False,False,False,False,False
3256,824931.9878,Nurse anesthetists,29-1151,0.1666666666666666,False,False,False,False,False
3258,5894329.316000001,Nurse practitioners,29-1171,0.4814814814814814,False,False,False,False,False
3261,500892.94440000004,Acupuncturists,29-1291,0.1666666666666666,False,False,False,False,False
3270,313447.5021,"Healthcare diagnosing or treating practitioners, all other",29-1299,0.4963942307692307,False,False,False,False,False
3300,6973488.0334,Clinical laboratory technologists and technicians,29-2010,0.25429725985221674,False,False,False,False,False
3310,4570179.3973,Dental hygienists,29-1292,0.1875,False,False,False,False,False
3321,1075097.8606,Cardiovascular technologists and technicians,29-2031,0.3571428571428571,False,False,False,False,False
3322,1941083.4247,Diagnostic medical sonographers,29-2032,0.3026315789473684,False,False,False,False,False
3323,4970642.0665,Radiologic technologists and technicians,29-2034,0.3771929824561403,False,False,False,False,False
3324,1034299.675,Magnetic resonance imaging technologists,29-2035,0.3222222222222222,False,False,False,False,False
3330,757909.8631,Nuclear medicine technologists and medical dosimetrists,29-203X,0.351019567261535,False,False,False,False,False
3401,2370561.0378,Emergency medical technicians,29-2042,0.2083333333333333,False,False,False,False,False
3402,2254738.4554,Paramedics,29-2043,0.1538461538461538,False,False,False,False,False
3421,6492703.490999999,Pharmacy technicians,29-2052,0.4264705882352941,False,False,False,False,False
3422,1367732.611,Psychiatric technicians,29-2053,0.12,False,False,False,False,False
3423,2204885.2471000003,Surgical technologists,29-2055,0.0666666666666666,False,False,False,False,False
3424,2476860.2558,Veterinary technologists and technicians,29-2056,0.1639344262295082,False,False,False,False,False
3430,968879.2877,Dietetic technicians and ophthalmic medical technicians,29-205X,0.30058565369036955,False,False,False,False,False
3500,11452300.9616,Licensed practical and licensed vocational nurses,29-2061,0.25,False,False,False,False,False
3515,4180749.8745999997,Medical records specialists,29-2072,0.6176470588235294,True,True,False,False,False
3520,976125.771,"Opticians, dispensing",29-2081,0.2857142857142857,False,False,False,False,False
3545,3315041.5775,Miscellaneous health technologists and technicians,29-2090,0.3932168729906446,False,False,False,False,False
3550,1977487.7913,Other healthcare practitioners and technical occupations,29-9000,0.3796725173736562,False,False,False,False,False
3601,11495140.774799999,Home health aides,31-1121,0.0769230769230769,False,False,False,False,False
3602,26176727.6937,Personal care aides,31-1122,0.2222222222222222,False,False,False,False,False
3603,22852236.6607,Nursing assistants,31-1131,0.1016949152542373,False,False,False,False,False
3605,853914.7131,Orderlies and psychiatric aides,31-113X,0.09869994806974124,False,False,False,False,False
3610,672408.3866000001,Occupational therapy assistants and aides,31-2010,0.26488954755028615,False,False,False,False,False
3620,1460595.015,Physical therapist assistants and aides,31-2020,0.1619653421053803,False,False,False,False,False
3630,3363640.9033,Massage therapists,31-9011,0.074074074074074,False,False,False,False,False
3640,6115793.2094,Dental assistants,31-9091,0.2666666666666666,False,False,False,False,False
3645,10518336.5248,Medical assistants,31-9092,0.358974358974359,False,False,False,False,False
3646,568165.8971000001,Medical transcriptionists,31-9094,0.875,True,True,True,True,False
3647,596624.9878,Pharmacy aides,31-9095,0.38,False,False,False,False,False
3648,918729.0637,Veterinary assistants and laboratory animal caretakers,31-9096,0.2222222222222222,False,False,False,False,False
3649,2151919.3971,Phlebotomists,31-9097,0.1829268292682926,False,False,False,False,False
3655,3890946.7755,Other healthcare support workers,31-909X,0.31789399115084205,False,False,False,False,False
3700,993597.2907,First-line supervisors of correctional officers,33-1011,0.2826086956521739,False,False,False,False,False
3710,2115252.1727,First-line supervisors of police and detectives,33-1012,0.3289473684210526,False,False,False,False,False
3720,1273062.6213,First-line supervisors of firefighting and prevention workers,33-1021,0.4150943396226415,False,False,False,False,False
3725,1702284.4135999999,First-line supervisors of security workers,33-1091,0.4047619047619047,False,False,False,False,False
3740,6575799.689300001,Firefighters,33-2011,0.1403508771929824,False,False,False,False,False
3750,711721.1919,Fire inspectors,33-2020,0.27697497814685323,False,False,False,False,False
3801,387439.7401,Bailiffs,33-3011,0.0357142857142857,False,False,False,False,False
3802,6129161.0525,Correctional officers and jailers,33-3012,0.2613636363636363,False,False,False,False,False
3820,3164135.7772,Detectives and criminal investigators,33-3021,0.397410759175465,False,False,False,False,False
3840,370755.8626,Parking enforcement workers,33-3041,0.3205128205128205,False,False,False,False,False
3870,16537472.4603,Police officers,33-3050,0.3507435599970149,False,False,False,False,False
3900,153683.1323,Animal control workers,33-9011,0.35,False,False,False,False,False
3910,2057136.8018,Private detectives and investigators,33-9021,0.3888888888888888,False,False,False,False,False
3930,15488305.4437,Security guards and gambling surveillance officers,33-9030,0.16885904589751644,False,False,False,False,False
3940,645493.4043,Crossing guards and flaggers,33-9091,0.1052631578947368,False,False,False,False,False
3945,914143.4779,Transportation security screeners,33-9093,0.26,False,False,False,False,False
3946,649110.844,School bus monitors,33-9094,0.1666666666666666,False,False,False,False,False
3960,596768.0734,Other protective service workers,33-909X,0.1752779896832838,False,False,False,False,False
4000,9131046.3784,Chefs and head cooks,35-1011,0.2619047619047618,False,False,False,False,False
4010,8283044.9294,First-line supervisors of food preparation and serving workers,35-1012,0.5111111111111112,True,False,False,False,False
4020,31257664.159199998,Cooks,35-2010,0.07284472881337925,False,False,False,False,False
4030,11705434.8741,Food preparation workers,35-2021,0.037037037037037,False,False,False,False,False
4040,7607052.9262999995,Bartenders,35-3011,0.1944444444444444,False,False,False,False,False
4055,5916977.9736,Fast food and counter workers,35-3023,0.0970394736842105,False,False,False,False,False
4110,19504520.1702,Waiters and waitresses,35-3031,0.183673469387755,False,False,False,False,False
4120,2678570.6815,"Food servers, nonrestaurant",35-3041,0.1296296296296296,False,False,False,False,False
4130,2954511.7219000002,Dining room and cafeteria attendants and bartender helpers,35-9011,0.0,False,False,False,False,False
4140,3192588.3073,Dishwashers,35-9021,0.0,False,False,False,False,False
4150,1349699.4838,"Hosts and hostesses, restaurant, lounge, and coffee shop",35-9031,0.2285714285714285,False,False,False,False,False
4200,6995834.8109,First-line supervisors of housekeeping and janitorial workers,37-1011,0.2653061224489795,False,False,False,False,False
4210,5340685.3048,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",37-1012,0.3545454545454545,False,False,False,False,False
4220,40671240.6634,Janitors and building cleaners,37-201X,0.0,False,False,False,False,False
4230,27760256.698,Maids and housekeeping cleaners,37-2012,0.0,False,False,False,False,False
4240,2113069.3467,Pest control workers,37-2021,0.25,False,False,False,False,False
4251,21584917.1614,Landscaping and groundskeeping workers,37-3011,0.024390243902439,False,False,False,False,False
4252,1874271.9096,Tree trimmers and pruners,37-3013,0.0609756097560975,False,False,False,False,False
4255,298545.87409999996,Other grounds maintenance workers,37-301X,0.026824555018284523,False,False,False,False,False
4330,4993495.4816,Supervisors of personal care and service workers,39-1000,0.3974593883686835,False,False,False,False,False
4340,1128368.464,Animal trainers,39-2011,0.1034482758620689,False,False,False,False,False
4350,4472633.6451,Animal caretakers,39-2021,0.2727272727272727,False,False,False,False,False
4400,1422393.8578,Gambling services workers,39-3010,0.14648275329389876,False,False,False,False,False
4420,308770.1673,"Ushers, lobby attendants, and ticket takers",39-3031,0.1428571428571428,False,False,False,False,False
4435,1802006.0924,Other entertainment attendants and related workers,39-30XX,0.18530317234497265,False,False,False,False,False
4461,403247.4017,"Embalmers, crematory operators, and funeral attendants",39-40XX,0.15783641125173842,False,False,False,False,False
4465,658373.1084,"Morticians, undertakers, and funeral arrangers",39-4031,0.1627906976744186,False,False,False,False,False
4500,2359349.3199,Barbers,39-5011,0.1617647058823529,False,False,False,False,False
4510,13815766.9256,"Hairdressers, hairstylists, and cosmetologists",39-5012,0.0789473684210526,False,False,False,False,False
4521,5648787.5763,Manicurists and pedicurists,39-5092,0.0833333333333333,False,False,False,False,False
4522,1922696.3598,Skincare specialists,39-5094,0.1969696969696969,False,False,False,False,False
4525,469951.2143,Other personal appearance workers,39-509X,0.1253041527431771,False,False,False,False,False
4530,1388404.4386,"Baggage porters, bellhops, and concierges",39-6010,0.33412054820505527,False,False,False,False,False
4540,584572.1775,Tour and travel guides,39-7010,0.32461538461538464,False,False,False,False,False
4600,16041860.8194,Childcare workers,39-9011,0.1414312039312039,False,False,False,False,False
4621,4571082.5118,Exercise trainers and group fitness instructors,39-9031,0.0147058823529411,False,False,False,False,False
4622,2044328.3237,Recreation workers,39-9032,0.238095238095238,False,False,False,False,False
4640,399973.3993,Residential advisors,39-9041,0.24,False,False,False,False,False
4700,62241167.5164,First-line supervisors of retail sales workers,41-1011,0.4864864864864865,False,False,False,False,False
4710,24979769.1283,First-line supervisors of non-retail sales workers,41-1012,0.537037037037037,True,False,False,False,False
4720,28980683.2032,Cashiers,41-2010,0.20967619030902226,False,False,False,False,False
4740,1436788.1866000001,Counter and rental clerks,41-2021,0.532258064516129,True,False,False,False,False
4750,1875497.9811,Parts salespersons,41-2022,0.3428571428571428,False,False,False,False,False
4760,40284714.529,Retail salespersons,41-2031,0.3421052631578947,False,False,False,False,False
4800,2427757.0542,Advertising sales agents,41-3011,0.5384615384615384,True,False,False,False,False
4810,12232326.5493,Insurance sales agents,41-3021,0.5757575757575758,True,False,False,False,False
4820,4883082.2864,"Securities, commodities, and financial services sales agents",41-3031,0.6057692307692308,True,True,False,False,False
4830,1187601.0943,Travel agents,41-3041,0.5625,True,False,False,False,False
4840,12450733.6654,"Sales representatives of services, except advertising, insurance, financial services, and travel",41-3091,0.6333333333333333,True,True,False,False,False
4850,25199237.898199998,"Sales representatives, wholesale and manufacturing",41-4010,0.5976961778015077,True,False,False,False,False
4900,437229.2907,"Models, demonstrators, and product promoters",41-9010,0.13640488343631532,False,False,False,False,False
4920,22936574.7904,Real estate brokers and sales agents,41-9020,0.45057074408117254,False,False,False,False,False
4930,878074.3355,Sales engineers,41-9031,0.5113636363636364,True,False,False,False,False
4940,604253.3103,Telemarketers,41-9041,0.8055555555555555,True,True,True,True,False
4950,1626205.5411,"Door-to-door sales workers, news and street vendors, and related workers",41-9091,0.2608695652173913,False,False,False,False,False
5000,26132639.2728,First-line supervisors of office and administrative support workers,43-1011,0.4895833333333333,False,False,False,False,False
5010,242979.7387,"Switchboard operators, including answering service",43-2011,0.6290322580645161,True,True,False,False,False
5020,360139.5353,Telephone operators,43-2021,0.894736842105263,True,True,True,True,False
5100,1978391.9074,Bill and account collectors,43-3011,0.6964285714285714,True,True,False,False,False
5110,9890888.295,Billing and posting clerks,43-3021,0.7738095238095237,True,True,True,False,False
5120,21680230.7712,"Bookkeeping, accounting, and auditing clerks",43-3031,0.8023255813953488,True,True,True,True,False
5140,3035095.7064,Payroll and timekeeping clerks,43-3051,0.8378378378378379,True,True,True,True,False
5150,646467.578,Procurement clerks,43-3061,0.6142857142857142,True,True,False,False,False
5160,3757632.7057,Tellers,43-3071,0.5416666666666666,True,False,False,False,False
5220,1720834.1647,"Court, municipal, and license clerks",43-4031,0.7,True,True,True,False,False
5230,937693.2089,"Credit authorizers, checkers, and clerks",43-4041,0.65,True,True,False,False,False
5240,45020994.7751,Customer service representatives,43-4051,0.5681818181818182,True,False,False,False,False
5250,1591169.8478,"Eligibility interviewers, government programs",43-4061,0.68,True,True,False,False,False
5260,2709889.0946,File clerks,43-4071,0.7941176470588235,True,True,True,False,False
5300,2048613.7471999999,"Hotel, motel, and resort desk clerks",43-4081,0.5,True,False,False,False,False
5310,3388818.4055,"Interviewers, except eligibility and loan",43-4111,0.6724137931034483,True,True,False,False,False
5320,1258931.5753,"Library assistants, clerical",43-4121,0.5344827586206896,True,False,False,False,False
5330,3441799.0052,Loan interviewers and clerks,43-4131,0.59375,True,False,False,False,False
5340,287179.0441,New accounts clerks,43-4141,0.56,True,False,False,False,False
5350,2260445.5317,Order clerks,43-4151,0.7142857142857143,True,True,True,False,False
5360,1366141.8368,"Human resources assistants, except payroll and timekeeping",43-4161,0.6206896551724138,True,True,False,False,False
5400,19934207.0734,Receptionists and information clerks,43-4171,0.5333333333333333,True,False,False,False,False
5410,1949148.0267,Reservation and transportation ticket agents and travel clerks,43-4181,0.4571428571428571,False,False,False,False,False
5500,394049.9073,Cargo and freight agents,43-5011,0.5273013150371642,True,False,False,False,False
5510,15789691.3648,Couriers and messengers,43-5021,0.3103448275862069,False,False,False,False,False
5521,1772375.369,Public safety telecommunicators,43-5031,0.65625,True,True,False,False,False
5522,3790037.5991,"Dispatchers, except police, fire, and ambulance",43-5032,0.6739130434782609,True,True,False,False,False
5530,489950.8879,"Meter readers, utilities",43-5041,0.4374999999999999,False,False,False,False,False
5540,2167575.0185000002,Postal service clerks,43-5051,0.3148148148148147,False,False,False,False,False
5550,6104406.2228999995,Postal service mail carriers,43-5052,0.2307692307692307,False,False,False,False,False
5560,1424028.6343999999,"Postal service mail sorters, processors, and processing machine operators",43-5053,0.1,False,False,False,False,False
5600,4446287.9456,"Production, planning, and expediting clerks",43-5061,0.5961538461538461,True,False,False,False,False
5610,11969763.4426,"Shipping, receiving, and inventory clerks",43-5071,0.5,True,False,False,False,False
5630,1016014.4077999999,"Weighers, measurers, checkers, and samplers, recordkeeping",43-5111,0.293103448275862,False,False,False,False,False
5710,4902203.0712,Executive secretaries and executive administrative assistants,43-6011,0.6486486486486487,True,True,False,False,False
5720,956664.2639,Legal secretaries and administrative assistants,43-6012,0.6956521739130435,True,True,False,False,False
5730,1361586.8813,Medical secretaries and administrative assistants,43-6013,0.6666666666666666,True,True,False,False,False
5740,39080017.1195,"Secretaries and administrative assistants, except legal, medical, and executive",43-6014,0.6442307692307693,True,True,False,False,False
5810,4309243.4862,Data entry keyers,43-9021,0.8928571428571428,True,True,True,True,False
5820,649943.3319,Word processors and typists,43-9022,0.7432432432432433,True,True,True,False,False
5840,6006455.0845,Insurance claims and policy processing clerks,43-9041,0.8333333333333333,True,True,True,True,False
5850,900510.0763,"Mail clerks and mail machine operators, except postal service",43-9051,0.2162162162162162,False,False,False,False,False
5860,23287902.6406,"Office clerks, general",43-9061,0.5757575757575758,True,False,False,False,False
5900,460702.2191,"Office machine operators, except computer",43-9071,0.3970588235294117,False,False,False,False,False
5910,168045.1445,Proofreaders and copy markers,43-9081,0.975,True,True,True,True,True
5920,684879.2565,Statistical assistants,43-9111,0.8913043478260869,True,True,True,True,False
6005,1038434.572,"First-line supervisors of farming, fishing, and forestry workers",45-1011,0.2807017543859649,False,False,False,False,False
6010,212439.67859999998,Agricultural inspectors,45-2011,0.2916666666666666,False,False,False,False,False
6040,974930.6607,"Graders and sorters, agricultural products",45-2041,0.1,False,False,False,False,False
6050,14083473.5266,Miscellaneous agricultural workers,45-2090,0.10842157779295958,False,False,False,False,False
6115,550826.816,Fishing and hunting workers,45-3031,0.043859649122807,False,False,False,False,False
6120,305976.5931,Forest and conservation workers,45-4011,0.0434782608695652,False,False,False,False,False
6130,1007734.828,Logging workers,45-4020,0.1687876168523498,False,False,False,False,False
6200,14334925.2076,First-line supervisors of construction trades and extraction workers,47-1011,0.41666666666666663,False,False,False,False,False
6210,390588.5521,Boilermakers,47-2011,0.0303030303030303,False,False,False,False,False
6220,2338922.8592,"Brickmasons, blockmasons, and stonemasons",47-2020,0.033062645011600875,False,False,False,False,False
6230,24983100.4581,Carpenters,47-2031,0.1444444444444444,False,False,False,False,False
6240,3098386.8082,"Carpet, floor, and tile installers and finishers",47-2040,0.05589349376114082,False,False,False,False,False
6250,1441164.9559,"Cement masons, concrete finishers, and terrazzo workers",47-2050,0.0,False,False,False,False,False
6260,42267116.5083,Construction laborers,47-2061,0.05,False,False,False,False,False
6305,7656594.5082,Construction equipment operators,47-2070,0.04929080871982913,False,False,False,False,False
6330,3418919.5148,"Drywall installers, ceiling tile installers, and tapers",47-2080,0.03619067677618641,False,False,False,False,False
6355,17575661.3563,Electricians,47-2111,0.1463414634146341,False,False,False,False,False
6360,822110.8574,Glaziers,47-2121,0.0833333333333333,False,False,False,False,False
6400,1039803.5016,Insulation workers,47-2130,0.048165632586997555,False,False,False,False,False
6410,12340487.167,Painters and paperhangers,47-2140,0.05694179354556708,False,False,False,False,False
6441,909281.4394,Pipelayers,47-2151,0.0357142857142857,False,False,False,False,False
6442,12181964.9243,"Plumbers, pipefitters, and steamfitters",47-2152,0.0753161698283649,False,False,False,False,False
6460,427695.8244,Plasterers and stucco masons,47-2161,0.0769230769230769,False,False,False,False,False
6515,4258933.1637,Roofers,47-2181,0.04,False,False,False,False,False
6520,2471299.3286,Sheet metal workers,47-2211,0.0657894736842105,False,False,False,False,False
6530,1122901.1939,Structural iron and steel workers,47-2221,0.0285714285714285,False,False,False,False,False
6540,475135.7644,Solar photovoltaic installers,47-2231,0.11,False,False,False,False,False
6600,845460.6381,"Helpers, construction trades",47-3010,0.009797287357674532,False,False,False,False,False
6660,2108045.1152,Construction and building inspectors,47-4011,0.33410428931875524,False,False,False,False,False
6700,914611.569,Elevator and escalator installers and repairers,47-4021,0.1842105263157894,False,False,False,False,False
6710,790098.8285000001,Fence erectors,47-4031,0.0512820512820512,False,False,False,False,False
6720,493439.0993,Hazardous materials removal workers,47-4041,0.0806451612903225,False,False,False,False,False
6730,2103598.6264,Highway maintenance workers,47-4051,0.0161290322580645,False,False,False,False,False
6740,353777.12179999996,Rail-track laying and maintenance equipment operators,47-4061,0.0,False,False,False,False,False
6765,716540.8652,Miscellaneous construction and related workers,47-4090,0.1208333333333333,False,False,False,False,False
6800,670729.4309,"Derrick, rotary drill, and service unit operators, oil and gas",47-5010,0.05180700619280889,False,False,False,False,False
6825,564377.362,"Earth drillers, except oil and gas",47-5023,0.1363636363636363,False,False,False,False,False
6835,246191.4217,"Explosives workers, ordnance handling experts, and blasters",47-5032,0.1354166666666666,False,False,False,False,False
6850,723761.9429,Underground mining machine operators,47-5040,0.0063066614111154705,False,False,False,False,False
6950,976778.9864,Other extraction workers,47-50XX,0.03480664104933386,False,False,False,False,False
7000,5216681.0083,"First-line supervisors of mechanics, installers, and repairers",49-1011,0.4102564102564102,False,False,False,False,False
7010,3615144.4336,"Computer, automated teller, and office machine repairers",49-2011,0.3673469387755101,False,False,False,False,False
7020,2558550.7153,Radio and telecommunications equipment installers and repairers,49-2020,0.2691678317234367,False,False,False,False,False
7030,149276.4552,Avionics technicians,49-2091,0.24,False,False,False,False,False
7040,452981.1688,"Electric motor, power tool, and related repairers",49-2092,0.1057692307692307,False,False,False,False,False
7100,496602.2109,"Electrical and electronics repairers, industrial and utility",49-209X,0.22835378802484063,False,False,False,False,False
7120,497968.7115,Audiovisual equipment installers and repairers,49-2097,0.238095238095238,False,False,False,False,False
7130,1309780.786,Security and fire alarm systems installers,49-2098,0.1666666666666666,False,False,False,False,False
7140,3253080.4445,Aircraft mechanics and service technicians,49-3011,0.1343283582089552,False,False,False,False,False
7150,2667948.3536,Automotive body and related repairers,49-3021,0.0425531914893617,False,False,False,False,False
7160,571105.7162,Automotive glass installers and repairers,49-3022,0.0,False,False,False,False,False
7200,17185431.3847,Automotive service technicians and mechanics,49-3023,0.0818181818181818,False,False,False,False,False
7210,6881339.5749,Bus and truck mechanics and diesel engine specialists,49-3031,0.0,False,False,False,False,False
7220,4949132.2868,Heavy vehicle and mobile equipment service technicians and mechanics,49-3040,0.10220789114216663,False,False,False,False,False
7240,896883.4714,Small engine mechanics,49-3050,0.11031628627782468,False,False,False,False,False
7260,1319945.1185,"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",49-3090,0.017435560733726832,False,False,False,False,False
7300,444448.6933,Control and valve installers and repairers,49-9010,0.13297182449613457,False,False,False,False,False
